query,score,value,eps,min_samples,bias
Gypsophyla,ndcg,0.6954452308270774,0.1,5,ru
Gypsophyla,map,0.9380216993761885,0.1,8,False
Gypsophyla,ndcg,0.6837570756871265,0.1,8,False
Gypsophyla,map,0.9380216993761885,0.1,8,us
Gypsophyla,ndcg,0.6837570756871265,0.1,8,us
Gypsophyla,map,0.9380216993761885,0.1,8,ru
Gypsophyla,ndcg,0.6837570756871265,0.1,8,ru
Gypsophyla,map,0.9928916886253841,0.5,2,False
Gypsophyla,ndcg,0.5318110588677651,0.5,2,False
Gypsophyla,map,0.9983333333333333,0.5,2,us
Gypsophyla,ndcg,0.5318110588677651,0.5,2,us
Gypsophyla,map,0.9133231711650325,0.5,2,ru
Gypsophyla,ndcg,0.7751355158639127,0.5,2,ru
Gypsophyla,map,0.9354314083226117,0.5,5,False
Gypsophyla,ndcg,0.6954452308270774,0.5,5,False
Gypsophyla,map,0.9354404270816306,0.5,5,us
Gypsophyla,ndcg,0.6954452308270774,0.5,5,us
Gypsophyla,map,0.9354404270816306,0.5,5,ru
Gypsophyla,ndcg,0.6954452308270774,0.5,5,ru
Gypsophyla,map,0.9382774961393383,0.5,8,False
Gypsophyla,ndcg,0.6837570756871265,0.5,8,False
Gypsophyla,map,0.9382774961393383,0.5,8,us
Gypsophyla,ndcg,0.6837570756871265,0.5,8,us
Gypsophyla,map,0.9382774961393383,0.5,8,ru
Gypsophyla,ndcg,0.6837570756871265,0.5,8,ru
Gypsophyla,map,0.9909075616412572,0.9,2,False
Gypsophyla,ndcg,0.5318110588677651,0.9,2,False
Gypsophyla,map,0.9983333333333332,0.9,2,us
Gypsophyla,ndcg,0.5318110588677651,0.9,2,us
Gypsophyla,map,0.9037993616412229,0.9,2,ru
Gypsophyla,ndcg,0.8078982494357302,0.9,2,ru
Gypsophyla,map,0.9220500314743735,0.9,5,False
Gypsophyla,ndcg,0.7531340900365112,0.9,5,False
Gypsophyla,map,0.9219602151639185,0.9,5,us
Gypsophyla,ndcg,0.7531340900365112,0.9,5,us
Gypsophyla,map,0.9219138658970316,0.9,5,ru
Gypsophyla,ndcg,0.7531340900365112,0.9,5,ru
Gypsophyla,map,0.9218383828052441,0.9,8,False
Gypsophyla,ndcg,0.7531340900365112,0.9,8,False
Gypsophyla,map,0.9218383828052441,0.9,8,us
Gypsophyla,ndcg,0.7531340900365112,0.9,8,us
Gypsophyla,map,0.9218383828052441,0.9,8,ru
Gypsophyla,ndcg,0.7531340900365112,0.9,8,ru
Inna Churikova,map,0.8598891007981917,0.1,2,False
Inna Churikova,ndcg,0.8595965027558761,0.1,2,False
Inna Churikova,map,0.8270903339085157,0.1,2,us
Inna Churikova,ndcg,0.8867971108281407,0.1,2,us
Inna Churikova,map,0.8254374413465323,0.1,2,ru
Inna Churikova,ndcg,0.8867971108281407,0.1,2,ru
Inna Churikova,map,0.7517472426563334,0.1,5,False
Inna Churikova,ndcg,0.9256201310165,0.1,5,False
Inna Churikova,map,0.781148397057488,0.1,5,us
Inna Churikova,ndcg,0.9166838140799988,0.1,5,us
Inna Churikova,map,0.781148397057488,0.1,5,ru
Inna Churikova,ndcg,0.9166838140799988,0.1,5,ru
Inna Churikova,map,0.7962999122090032,0.1,8,False
Inna Churikova,ndcg,0.8986843420667204,0.1,8,False
Inna Churikova,map,0.7962999122090032,0.1,8,us
Inna Churikova,ndcg,0.8986843420667204,0.1,8,us
Inna Churikova,map,0.7962999122090032,0.1,8,ru
Inna Churikova,ndcg,0.8986843420667204,0.1,8,ru
Inna Churikova,map,0.8598891007981917,0.5,2,False
Inna Churikova,ndcg,0.8595965027558761,0.5,2,False
Inna Churikova,map,0.8270903339085157,0.5,2,us
Inna Churikova,ndcg,0.8867971108281407,0.5,2,us
Inna Churikova,map,0.8254374413465323,0.5,2,ru
Inna Churikova,ndcg,0.8867971108281407,0.5,2,ru
Inna Churikova,map,0.7517472426563334,0.5,5,False
Inna Churikova,ndcg,0.9256201310165,0.5,5,False
Inna Churikova,map,0.781148397057488,0.5,5,us
Inna Churikova,ndcg,0.9166838140799988,0.5,5,us
Inna Churikova,map,0.781148397057488,0.5,5,ru
Inna Churikova,ndcg,0.9166838140799988,0.5,5,ru
Inna Churikova,map,0.7962999122090032,0.5,8,False
Inna Churikova,ndcg,0.8986843420667204,0.5,8,False
Inna Churikova,map,0.7962999122090032,0.5,8,us
Inna Churikova,ndcg,0.8986843420667204,0.5,8,us
Inna Churikova,map,0.7962999122090032,0.5,8,ru
Inna Churikova,ndcg,0.8986843420667204,0.5,8,ru
Inna Churikova,map,0.8878111787202696,0.9,2,False
Inna Churikova,ndcg,0.8496050352076078,0.9,2,False
Inna Churikova,map,0.817976467976468,0.9,2,us
Inna Churikova,ndcg,0.8891349368259622,0.9,2,us
Inna Churikova,map,0.8186192595283505,0.9,2,ru
Inna Churikova,ndcg,0.8891349368259623,0.9,2,ru
Inna Churikova,map,0.7517472426563334,0.9,5,False
Inna Churikova,ndcg,0.9256201310165,0.9,5,False
Inna Churikova,map,0.7725219225219224,0.9,5,us
Inna Churikova,ndcg,0.9190216400778203,0.9,5,us
Inna Churikova,map,0.7517472426563334,0.9,5,ru
Inna Churikova,ndcg,0.9256201310165,0.9,5,ru
Inna Churikova,map,0.7965118215118215,0.9,8,False
Inna Churikova,ndcg,0.8986843420667204,0.9,8,False
Inna Churikova,map,0.7876734376734377,0.9,8,us
Inna Churikova,ndcg,0.9019910878543799,0.9,8,us
Inna Churikova,map,0.7876734376734377,0.9,8,ru
Inna Churikova,ndcg,0.9019910878543799,0.9,8,ru
translator,map,0.3501832976470658,0.1,2,False
translator,ndcg,0.5507350670404473,0.1,2,False
translator,map,0.3485655189249213,0.1,2,us
translator,ndcg,0.48064151305348124,0.1,2,us
translator,map,0.3393287423147493,0.1,2,ru
translator,ndcg,0.47449360838985805,0.1,2,ru
translator,map,0.38125,0.1,5,False
translator,ndcg,0.4589458892003728,0.1,5,False
translator,map,0.38361344537815123,0.1,5,us
translator,ndcg,0.49242194229498815,0.1,5,us
translator,map,0.38361344537815123,0.1,5,ru
translator,ndcg,0.49242194229498815,0.1,5,ru
translator,map,0.4,0.1,8,False
translator,ndcg,0.41121551672353407,0.1,8,False
translator,map,0.3870617212402202,0.1,8,us
translator,ndcg,0.49242194229498815,0.1,8,us
translator,map,0.3870617212402202,0.1,8,ru
translator,ndcg,0.49242194229498815,0.1,8,ru
translator,map,0.36410934744268075,0.5,2,False
translator,ndcg,0.6168232750853009,0.5,2,False
translator,map,0.3592124893435635,0.5,2,us
translator,ndcg,0.48642777523116065,0.5,2,us
translator,map,0.35268445322793146,0.5,2,ru
translator,ndcg,0.547045758989779,0.5,2,ru
translator,map,0.36449275362318845,0.5,5,False
translator,ndcg,0.5384965099951041,0.5,5,False
translator,map,0.37768432252127904,0.5,5,us
translator,ndcg,0.5349997794107203,0.5,5,us
translator,map,0.37597866949983655,0.5,5,ru
translator,ndcg,0.5349997794107203,0.5,5,ru
translator,map,0.4,0.5,8,False
translator,ndcg,0.41121551672353407,0.5,8,False
translator,map,0.3870617212402202,0.5,8,us
translator,ndcg,0.49242194229498815,0.5,8,us
translator,map,0.3870617212402202,0.5,8,ru
translator,ndcg,0.49242194229498815,0.5,8,ru
translator,map,0.3746896621896622,0.9,2,False
translator,ndcg,0.5959163807844365,0.9,2,False
translator,map,0.371266367912535,0.9,2,us
translator,ndcg,0.46977887298905036,0.9,2,us
translator,map,0.35350693321707816,0.9,2,ru
translator,ndcg,0.5523784990879927,0.9,2,ru
translator,map,0.39232120051085567,0.9,5,False
translator,ndcg,0.4956615603364026,0.9,5,False
translator,map,0.39323858863500805,0.9,5,us
translator,ndcg,0.508370831114259,0.9,5,us
translator,map,0.38966848210269267,0.9,5,ru
translator,ndcg,0.508370831114259,0.9,5,ru
translator,map,0.41050592128178337,0.9,8,False
translator,ndcg,0.4205613239217962,0.9,8,False
translator,map,0.396686864497077,0.9,8,us
translator,ndcg,0.508370831114259,0.9,8,us
translator,map,0.3958082528257967,0.9,8,ru
translator,ndcg,0.508370831114259,0.9,8,ru
atomic heart,map,0.45846560846560847,0.1,2,False
atomic heart,ndcg,0.9166736161914647,0.1,2,False
atomic heart,map,0.6888888888888888,0.1,2,us
atomic heart,ndcg,0.8061939392964769,0.1,2,us
atomic heart,map,0.5499999999999999,0.1,2,ru
atomic heart,ndcg,0.8764359881983829,0.1,2,ru
atomic heart,map,0.5499999999999999,0.1,5,False
atomic heart,ndcg,0.8683590555834543,0.1,5,False
atomic heart,map,0.6611111111111111,0.1,5,us
atomic heart,ndcg,0.8147469343767056,0.1,5,us
atomic heart,map,0.5777777777777777,0.1,5,ru
atomic heart,ndcg,0.8375145286726157,0.1,5,ru
atomic heart,map,0.5499999999999999,0.1,8,False
atomic heart,ndcg,0.8683590555834543,0.1,8,False
atomic heart,map,0.6611111111111111,0.1,8,us
atomic heart,ndcg,0.8147469343767056,0.1,8,us
atomic heart,map,0.5777777777777777,0.1,8,ru
atomic heart,ndcg,0.8375145286726157,0.1,8,ru
atomic heart,map,0.45846560846560847,0.5,2,False
atomic heart,ndcg,0.9166736161914647,0.5,2,False
atomic heart,map,0.6888888888888888,0.5,2,us
atomic heart,ndcg,0.8061939392964769,0.5,2,us
atomic heart,map,0.5499999999999999,0.5,2,ru
atomic heart,ndcg,0.8764359881983829,0.5,2,ru
atomic heart,map,0.5499999999999999,0.5,5,False
atomic heart,ndcg,0.8683590555834543,0.5,5,False
atomic heart,map,0.6611111111111111,0.5,5,us
atomic heart,ndcg,0.8147469343767056,0.5,5,us
atomic heart,map,0.5777777777777777,0.5,5,ru
atomic heart,ndcg,0.8375145286726157,0.5,5,ru
atomic heart,map,0.5499999999999999,0.5,8,False
atomic heart,ndcg,0.8683590555834543,0.5,8,False
atomic heart,map,0.6611111111111111,0.5,8,us
