,rank,query,value,cat,timeframe
34,9,trump,90,rising,2021-01-01 2021-02-01
35,10,donald trump,60,rising,2021-01-01 2021-02-01
36,11,nba,40,rising,2021-01-01 2021-02-01
37,12,cnn,40,rising,2021-01-01 2021-02-01
0,0,weather,100,top,2021-02-01 2021-03-01
1,1,google,57,top,2021-02-01 2021-03-01
2,2,facebook,49,top,2021-02-01 2021-03-01
3,3,amazon,47,top,2021-02-01 2021-03-01
4,4,youtube,44,top,2021-02-01 2021-03-01
5,5,walmart,29,top,2021-02-01 2021-03-01
6,6,yahoo,21,top,2021-02-01 2021-03-01
7,7,craigslist,19,top,2021-02-01 2021-03-01
8,8,translate,17,top,2021-02-01 2021-03-01
9,9,nba,16,top,2021-02-01 2021-03-01
10,10,calculator,16,top,2021-02-01 2021-03-01
11,11,instagram,14,top,2021-02-01 2021-03-01
12,12,gmail,13,top,2021-02-01 2021-03-01
13,13,netflix,13,top,2021-02-01 2021-03-01
14,14,twitter,13,top,2021-02-01 2021-03-01
15,15,home depot,13,top,2021-02-01 2021-03-01
16,16,target,13,top,2021-02-01 2021-03-01
17,17,super bowl 2021,10,top,2021-02-01 2021-03-01
18,18,ebay,10,top,2021-02-01 2021-03-01
19,19,yahoo mail,10,top,2021-02-01 2021-03-01
20,20,walgreens,9,top,2021-02-01 2021-03-01
21,21,weather tomorrow,9,top,2021-02-01 2021-03-01
22,22,costco,9,top,2021-02-01 2021-03-01
23,23,ups,8,top,2021-02-01 2021-03-01
24,24,google translate,8,top,2021-02-01 2021-03-01
